"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M200US27460","Jamestown-Dunkirk-Fredonia, NY Micro Area","51579","1639","36150","1589","15429","1323",
"310M200US27500","Janesville-Beloit, WI Metro Area","65054","1038","50417","1336","14637","1103",
"310M200US27620","Jefferson City, MO Metro Area","55448","1918","42356","2246","13092","1310",
"310M200US27740","Johnson City, TN Metro Area","83074","2160","57660","2434","25414","2002",
"310M200US27780","Johnstown, PA Metro Area","57044","1560","38568","1547","18476","1159",
"310M200US27860","Jonesboro, AR Metro Area","48943","1333","36568","1610","12375","1303",
"310M200US27900","Joplin, MO Metro Area","67439","1698","52260","1969","15179","1403",
"310M200US27980","Kahului-Wailuku-Lahaina, HI Metro Area","52170","2103","41892","2164","10278","1387",
"310M200US28020","Kalamazoo-Portage, MI Metro Area","129792","2302","101487","2677","28305","1735",
"310M200US28060","Kalispell, MT Micro Area","37307","1596","27395","1794","9912","1448",
"310M200US28100","Kankakee, IL Metro Area","38755","1242","28285","1495","10470","1135",
"310M200US28140","Kansas City, MO-KS Metro Area","814092","5547","651339","6367","162753","4429",
"310M200US28180","Kapaa, HI Micro Area","21862","1023","17591","1105","4271","787",
"310M200US28300","Keene, NH Micro Area","29657","1053","22768","1235","6889","938",
"310M200US28420","Kennewick-Richland, WA Metro Area","94423","1583","76285","1965","18138","1705",
"310M200US28580","Key West, FL Micro Area","31391","1657","23179","1621","8212","1117",
"310M200US28660","Killeen-Temple, TX Metro Area","151623","2475","120765","3412","30858","2348",
"310M200US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","126840","2811","84575","2985","42265","2077",
"310M200US28740","Kingston, NY Metro Area","69594","2222","53172","2563","16422","1665",
"310M200US28900","Klamath Falls, OR Micro Area","27144","1188","18545","1341","8599","1003",
"310M200US28940","Knoxville, TN Metro Area","343331","3971","250233","4745","93098","3180",
"310M200US29020","Kokomo, IN Metro Area","34714","1199","23963","1220","10751","1040",
"310M200US29100","La Crosse-Onalaska, WI-MN Metro Area","54008","1045","42610","1486","11398","1050",
"310M200US29180","Lafayette, LA Metro Area","180902","3107","140032","3456","40870","2761",
"310M200US29200","Lafayette-West Lafayette, IN Metro Area","81069","1938","65851","2163","15218","1365",
"310M200US29300","LaGrange, GA Micro Area","25092","995","17330","1450","7762","1076",
"310M200US29340","Lake Charles, LA Metro Area","79853","2100","61274","2318","18579","1633",
"310M200US29380","Lake City, FL Micro Area","24238","973","17109","1280","7129","899",
"310M200US29420","Lake Havasu City-Kingman, AZ Metro Area","83801","3330","48837","3141","34964","2066",
"310M200US29460","Lakeland-Winter Haven, FL Metro Area","227122","4857","157479","5111","69643","2482",
"310M200US29540","Lancaster, PA Metro Area","197706","1790","157454","2970","40252","2263",
"310M200US29620","Lansing-East Lansing, MI Metro Area","183888","2746","142009","2865","41879","2014",
"310M200US29700","Laredo, TX Metro Area","72259","1260","60196","1835","12063","1422",
"310M200US29740","Las Cruces, NM Metro Area","74631","2081","56467","2990","18164","2047",
"310M200US29820","Las Vegas-Henderson-Paradise, NV Metro Area","740966","6224","582947","5771","158019","4274",
"310M200US29860","Laurel, MS Micro Area","31527","1346","21142","1627","10385","1460",
"310M200US29940","Lawrence, KS Metro Area","42817","1358","34395","1818","8422","1273",
"310M200US30020","Lawton, OK Metro Area","43678","1666","34697","1597","8981","978",
"310M200US30140","Lebanon, PA Metro Area","53200","951","40725","1268","12475","1032",
"310M200US30300","Lewiston, ID-WA Metro Area","25354","1087","17785","1204","7569","1078",
"310M200US30340","Lewiston-Auburn, ME Metro Area","45138","1172","34309","1489","10829","1246",
"310M200US30460","Lexington-Fayette, KY Metro Area","199299","2697","163438","3339","35861","2173",
"310M200US30620","Lima, OH Metro Area","40234","1047","30348","1150","9886","863",
"310M200US30700","Lincoln, NE Metro Area","127316","1602","106418","2082","20898","1435",
