Year,Month,CPI,Series Name,Geo Name,Annual Earnings per Household
2023,7,"Denver, CO",2050.066605320017,1223825,3.7980000000000000
2023,7,"Detroit, MI",1413.8151404601078,1759573,3.5700000000000000
2023,7,"Detroit, MI",1413.8151404601078,1762104,3.5700000000000000
2023,7,"Houston, TX",1700.2118387036658,2601401,3.1830000000000000
2023,7,"Houston, TX",1700.2118387036658,2682645,3.1830000000000000
2023,7,"Los Angeles, CA",2911.6827998157187,4452780,4.9470000000000000
2023,7,"Los Angeles, CA",2911.6827998157187,4500951,4.9470000000000000
2023,7,"Miami, FL",2755.9093945417158,2306639,3.4830000000000000
2023,7,"Miami, FL",2755.9093945417158,2344046,3.4830000000000000
2023,7,"Minneapolis, MN",1634.8380738592075,1453400,3.5030000000000000
2023,7,"Minneapolis, MN",1634.8380738592075,1483453,3.5030000000000000
2023,7,"New York, NY",3371.3479077726643,7347700,3.6430000000000000
2023,7,"New York, NY",3371.3479077726643,7478571,3.6430000000000000
2023,7,"Philadelphia, PA",1833.480123341864,2442868,3.6530000000000000
2023,7,"Philadelphia, PA",1833.480123341864,2483863,3.6530000000000000
2023,7,"Phoenix, AZ",1874.1373901133536,1863195,3.8770000000000000
2023,7,"Phoenix, AZ",1874.1373901133536,1890835,3.8770000000000000
2023,7,"Riverside, CA",2490.969818873896,1441602,4.8440000000000000
2023,7,"Riverside, CA",2490.969818873896,1443666,4.8440000000000000
2023,7,"San Diego, CA",3049.3884347363187,1162896,4.9230000000000000
2023,7,"San Diego, CA",3049.3884347363187,1172343,4.9230000000000000
2023,7,"San Francisco, CA",3078.995677901049,1719049,4.8830000000000000
2023,7,"San Francisco, CA",3078.995677901049,1739127,4.8830000000000000
2023,7,"Seattle, WA",2213.984172644505,1584796,5.0630000000000000
2023,7,"Seattle, WA",2213.984172644505,1611580,5.0630000000000000
2023,7,"St. Louis, MO",1364.3409913134303,1144111,3.4650000000000000
2023,7,"St. Louis, MO",1364.3409913134303,1168546,3.4650000000000000
2023,7,"Tampa, FL",2092.634013775422,1309614,3.4560000000000000
2023,7,"Tampa, FL",2092.634013775422,1329075,3.4560000000000000
2023,7,"Urban Honolulu, HI",2682.920546658813,338093,4.5580000000000000
2023,7,"Urban Honolulu, HI",2682.920546658813,338438,4.5580000000000000
2023,7,"Washington, DC",2355.821826738424,2384977,3.5920000000000000
2023,7,"Washington, DC",2355.821826738424,2422671,3.5920000000000000
2023,8,"Atlanta, GA",1938.6236408872664,2277482,3.6390000000000000
2023,8,"Atlanta, GA",1938.6236408872664,2311639,3.6390000000000000
2023,8,"Baltimore, MD",1820.1921554908297,1117510,3.7540000000000000
2023,8,"Baltimore, MD",1820.1921554908297,1126216,3.7540000000000000
2023,8,"Boston, MA",3010.053179677036,1920160,3.7510000000000000
2023,8,"Boston, MA",3010.053179677036,1948354,3.7510000000000000
2023,8,"Chicago, IL",2036.7318971582672,3670416,4.3050000000000000
2023,8,"Chicago, IL",2036.7318971582672,3726266,4.3050000000000000
2023,8,"Dallas, TX",1831.215567581832,2836892,3.4720000000000000
2023,8,"Dallas, TX",1831.215567581832,2908436,3.4720000000000000
2023,8,"Denver, CO",2056.6533651717787,1192117,3.9290000000000000
2023,8,"Denver, CO",2056.6533651717787,1223825,3.9290000000000000
2023,8,"Detroit, MI",1420.9164311179836,1759573,3.7850000000000000
2023,8,"Detroit, MI",1420.9164311179836,1762104,3.7850000000000000
2023,8,"Houston, TX",1701.719567567675,2601401,3.3860000000000000
2023,8,"Houston, TX",1701.719567567675,2682645,3.3860000000000000
2023,8,"Los Angeles, CA",2925.8065139662185,4452780,5.2300000000000000
2023,8,"Los Angeles, CA",2925.8065139662185,4500951,5.2300000000000000
2023,8,"Miami, FL",2763.937936461476,2306639,3.7850000000000000
2023,8,"Miami, FL",2763.937936461476,2344046,3.7850000000000000
2023,8,"Minneapolis, MN",1636.454308774851,1453400,3.7900000000000000
2023,8,"Minneapolis, MN",1636.454308774851,1483453,3.7900000000000000
2023,8,"New York, NY",3381.816710838139,7347700,3.8280000000000000
2023,8,"New York, NY",3381.816710838139,7478571,3.8280000000000000
2023,8,"Philadelphia, PA",1841.6724006499785,2442868,3.8400000000000000
2023,8,"Philadelphia, PA",1841.6724006499785,2483863,3.8400000000000000
2023,8,"Phoenix, AZ",1876.5482751834188,1863195,4.2700000000000000
2023,8,"Phoenix, AZ",1876.5482751834188,1890835,4.2700000000000000
2023,8,"Riverside, CA",2497.7644139567738,1441602,5.1370000000000000
2023,8,"Riverside, CA",2497.7644139567738,1443666,5.1370000000000000
2023,8,"San Diego, CA",3059.1608865485828,1162896,5.2160000000000000
2023,8,"San Diego, CA",3059.1608865485828,1172343,5.2160000000000000
2023,8,"San Francisco, CA",3079.650798558496,1719049,5.1520000000000000
2023,8,"San Francisco, CA",3079.650798558496,1739127,5.1520000000000000
2023,8,"Seattle, WA",2223.141943848844,1584796,5.1500000000000000
2023,8,"Seattle, WA",2223.141943848844,1611580,5.1500000000000000
2023,8,"St. Louis, MO",1366.6630921311264,1144111,3.6550000000000000
2023,8,"St. Louis, MO",1366.6630921311264,1168546,3.6550000000000000
2023,8,"Tampa, FL",2105.782406913968,1309614,3.7820000000000000
2023,8,"Tampa, FL",2105.782406913968,1329075,3.7820000000000000
2023,8,"Urban Honolulu, HI",2679.2247670034862,338093,4.6250000000000000
2023,8,"Urban Honolulu, HI",2679.2247670034862,338438,4.6250000000000000
2023,8,"Washington, DC",2366.667812181968,2384977,3.8170000000000000
2023,8,"Washington, DC",2366.667812181968,2422671,3.8170000000000000
2023,9,"Atlanta, GA",1940.2201019491183,2277482,3.4790000000000000
2023,9,"Atlanta, GA",1940.2201019491183,2311639,3.4790000000000000
2023,9,"Baltimore, MD",1822.9099493387,1117510,3.5950000000000000
2023,9,"Baltimore, MD",1822.9099493387,1126216,3.5950000000000000
2023,9,"Boston, MA",3015.458831670717,1920160,3.7660000000000000
2023,9,"Boston, MA",3015.458831670717,1948354,3.7660000000000000
2023,9,"Chicago, IL",2035.4752602887008,3670416,4.0830000000000000
2023,9,"Chicago, IL",2035.4752602887008,3726266,4.0830000000000000
2023,9,"Dallas, TX",1829.2535850533432,2836892,3.3550000000000000
2023,9,"Dallas, TX",1829.2535850533432,2908436,3.3550000000000000
2023,9,"Denver, CO",2054.4897937879405,1192117,3.8860000000000000
2023,9,"Denver, CO",2054.4897937879405,1223825,3.8860000000000000
2023,9,"Detroit, MI",1423.533007308243,1759573,3.7180000000000000
2023,9,"Detroit, MI",1423.533007308243,1762104,3.7180000000000000
2023,9,"Houston, TX",1699.3237210898858,2601401,3.3020000000000000
2023,9,"Houston, TX",1699.3237210898858,2682645,3.3020000000000000
2023,9,"Los Angeles, CA",2929.9666935016357,4452780,5.7590000000000000
2023,9,"Los Angeles, CA",2929.9666935016357,4500951,5.7590000000000000
2023,9,"Miami, FL",2773.420166480405,2306639,3.6660000000000000
2023,9,"Miami, FL",2773.420166480405,2344046,3.6660000000000000
2023,9,"Minneapolis, MN",1634.3058163882183,1453400,3.8740000000000000
2023,9,"Minneapolis, MN",1634.3058163882183,1483453,3.8740000000000000
2023,9,"New York, NY",3381.7934728765263,7347700,3.8360000000000000
2023,9,"New York, NY",3381.7934728765263,7478571,3.8360000000000000
2023,9,"Philadelphia, PA",1854.9586281652355,2442868,3.8100000000000000
2023,9,"Philadelphia, PA",1854.9586281652355,2483863,3.8100000000000000
2023,9,"Phoenix, AZ",1877.1283206535632,1863195,4.7620000000000000
2023,9,"Phoenix, AZ",1877.1283206535632,1890835,4.7620000000000000
2023,9,"Riverside, CA",2501.7261194133703,1441602,5.6340000000000000
2023,9,"Riverside, CA",2501.7261194133703,1443666,5.6340000000000000
2023,9,"San Diego, CA",3056.697687270608,1162896,5.7220000000000000
2023,9,"San Diego, CA",3056.697687270608,1172343,5.7220000000000000
2023,9,"San Francisco, CA",3072.7700691243213,1719049,5.5410000000000000
2023,9,"San Francisco, CA",3072.7700691243213,1739127,5.5410000000000000
2023,9,"Seattle, WA",2222.0913129668866,1584796,5.1890000000000000
2023,9,"Seattle, WA",2222.0913129668866,1611580,5.1890000000000000
2023,9,"St. Louis, MO",1370.3128968984468,1144111,3.6450000000000000
2023,9,"St. Louis, MO",1370.3128968984468,1168546,3.6450000000000000
2023,9,"Tampa, FL",2108.184976776374,1309614,3.5850000000000000
2023,9,"Tampa, FL",2108.184976776374,1329075,3.5850000000000000
2023,9,"Urban Honolulu, HI",2697.8267294460293,338093,4.6920000000000000
2023,9,"Urban Honolulu, HI",2697.8267294460293,338438,4.6920000000000000
2023,9,"Washington, DC",2372.8978555559297,2384977,3.7290000000000000
2023,9,"Washington, DC",2372.8978555559297,2422671,3.7290000000000000
2023,10,"Atlanta, GA",1931.3871050913888,2277482,3.1310000000000000
2023,10,"Atlanta, GA",1931.3871050913888,2311639,3.1310000000000000
2023,10,"Baltimore, MD",1817.1582668917104,1117510,3.3390000000000000
2023,10,"Baltimore, MD",1817.1582668917104,1126216,3.3390000000000000
2023,10,"Boston, MA",3011.241766672329,1920160,3.6660000000000000
2023,10,"Boston, MA",3011.241766672329,1948354,3.6660000000000000
2023,10,"Chicago, IL",2028.844171958076,3670416,3.7150000000000000
2023,10,"Chicago, IL",2028.844171958076,3726266,3.7150000000000000
2023,10,"Dallas, TX",1821.7758569501643,2836892,3.0500000000000000
2023,10,"Dallas, TX",1821.7758569501643,2908436,3.0500000000000000
2023,10,"Denver, CO",2048.34661844554,1192117,3.6040000000000000
2023,10,"Denver, CO",2048.34661844554,1223825,3.6040000000000000
2023,10,"Detroit, MI",1422.7544238159453,1759573,3.4710000000000000
2023,10,"Detroit, MI",1422.7544238159453,1762104,3.4710000000000000
2023,10,"Houston, TX",1695.5936283055894,2601401,3.0670000000000000
2023,10,"Houston, TX",1695.5936283055894,2682645,3.0670000000000000
2023,10,"Los Angeles, CA",2927.456028838324,4452780,5.7190000000000000
2023,10,"Los Angeles, CA",2927.456028838324,4500951,5.7190000000000000
2023,10,"Miami, FL",2786.18974800293,2306639,3.4440000000000000
2023,10,"Miami, FL",2786.18974800293,2344046,3.4440000000000000
2023,10,"Minneapolis, MN",1632.823485549054,1453400,3.5330000000000000
2023,10,"Minneapolis, MN",1632.823485549054,1483453,3.5330000000000000
2023,10,"New York, NY",3365.593175663681,7347700,3.7270000000000000
2023,10,"New York, NY",3365.593175663681,7478571,3.7270000000000000
2023,10,"Philadelphia, PA",1862.552743413897,2442868,3.6120000000000000
2023,10,"Philadelphia, PA",1862.552743413897,2483863,3.6120000000000000
2023,10,"Phoenix, AZ",1873.5325885419893,1863195,4.4920000000000000
2023,10,"Phoenix, AZ",1873.5325885419893,1890835,4.4920000000000000
2023,10,"Riverside, CA",2513.088084287682,1441602,5.6190000000000000
2023,10,"Riverside, CA",2513.088084287682,1443666,5.6190000000000000
2023,10,"San Diego, CA",3044.47312445801,1162896,5.7800000000000000
2023,10,"San Diego, CA",3044.47312445801,1172343,5.7800000000000000
2023,10,"San Francisco, CA",3059.39545693517,1719049,5.5860000000000000
2023,10,"San Francisco, CA",3059.39545693517,1739127,5.5860000000000000
2023,10,"Seattle, WA",2213.885735358688,1584796,5.0350000000000000
2023,10,"Seattle, WA",2213.885735358688,1611580,5.0350000000000000
2023,10,"St. Louis, MO",1373.415879452257,1144111,3.4340000000000000
2023,10,"St. Louis, MO",1373.415879452257,1168546,3.4340000000000000
2023,10,"Tampa, FL",2107.6134592934804,1309614,3.3000000000000000
2023,10,"Tampa, FL",2107.6134592934804,1329075,3.3000000000000000
2023,10,"Urban Honolulu, HI",2705.1372742609624,338093,4.6600000000000000
2023,10,"Urban Honolulu, HI",2705.1372742609624,338438,4.6600000000000000
2023,10,"Washington, DC",2372.5188721707896,2384977,3.5630000000000000
2023,10,"Washington, DC",2372.5188721707896,2422671,3.5630000000000000
2023,11,"Atlanta, GA",1918.6182720765776,2277482,2.8930000000000000
2023,11,"Atlanta, GA",1918.6182720765776,2311639,2.8930000000000000
2023,11,"Baltimore, MD",1814.540139656566,1117510,3.2280000000000000
2023,11,"Baltimore, MD",1814.540139656566,1126216,3.2280000000000000
2023,11,"Boston, MA",3018.4833744577923,1920160,3.4870000000000000
2023,11,"Boston, MA",3018.4833744577923,1948354,3.4870000000000000
2023,11,"Chicago, IL",2021.4585980657212,3670416,3.5750000000000000
2023,11,"Chicago, IL",2021.4585980657212,3726266,3.5750000000000000
2023,11,"Dallas, TX",1815.1487198793611,2836892,2.7860000000000000
2023,11,"Dallas, TX",1815.1487198793611,2908436,2.7860000000000000
2023,11,"Denver, CO",2038.5328901327343,1192117,3.0930000000000000
2023,11,"Denver, CO",2038.5328901327343,1223825,3.0930000000000000
2023,11,"Detroit, MI",1426.286374833248,1759573,3.3100000000000000
2023,11,"Detroit, MI",1426.286374833248,1762104,3.3100000000000000
2023,11,"Houston, TX",1691.1732431051562,2601401,2.7880000000000000
2023,11,"Houston, TX",1691.1732431051562,2682645,2.7880000000000000
2023,11,"Los Angeles, CA",2913.000619683908,4452780,5.0850000000000000
2023,11,"Los Angeles, CA",2913.000619683908,4500951,5.0850000000000000
2023,11,"Miami, FL",2793.101610222237,2306639,3.2220000000000000
2023,11,"Miami, FL",2793.101610222237,2344046,3.2220000000000000
2023,11,"Minneapolis, MN",1630.455018544414,1453400,3.2420000000000000
2023,11,"Minneapolis, MN",1630.455018544414,1483453,3.2420000000000000
2023,11,"New York, NY",3341.656749908717,7347700,3.5500000000000000
2023,11,"New York, NY",3341.656749908717,7478571,3.5500000000000000
2023,11,"Philadelphia, PA",1864.7464355774312,2442868,3.4570000000000000
2023,11,"Philadelphia, PA",1864.7464355774312,2483863,3.4570000000000000
2023,11,"Phoenix, AZ",1864.7409563864096,1863195,3.7240000000000000
2023,11,"Phoenix, AZ",1864.7409563864096,1890835,3.7240000000000000
2023,11,"Riverside, CA",2512.800102951745,1441602,4.9470000000000000
2023,11,"Riverside, CA",2512.800102951745,1443666,4.9470000000000000
2023,11,"San Diego, CA",3021.2885423137723,1162896,5.1630000000000000
2023,11,"San Diego, CA",3021.2885423137723,1172343,5.1630000000000000
2023,11,"San Francisco, CA",3035.5344806846592,1719049,5.0880000000000000
2023,11,"San Francisco, CA",3035.5344806846592,1739127,5.0880000000000000
2023,11,"Seattle, WA",2200.625198493073,1584796,4.6580000000000000
2023,11,"Seattle, WA",2200.625198493073,1611580,4.6580000000000000
2023,11,"St. Louis, MO",1377.3536119353978,1144111,3.1510000000000000
2023,11,"St. Louis, MO",1377.3536119353978,1168546,3.1510000000000000
2023,11,"Tampa, FL",2099.890165696629,1309614,3.0830000000000000
2023,11,"Tampa, FL",2099.890165696629,1329075,3.0830000000000000
2023,11,"Urban Honolulu, HI",2708.773833643037,338093,4.5780000000000000
2023,11,"Urban Honolulu, HI",2708.773833643037,338438,4.5780000000000000
2023,11,"Washington, DC",2368.5120797099225,2384977,3.3570000000000000
2023,11,"Washington, DC",2368.5120797099225,2422671,3.3570000000000000
2023,12,"Atlanta, GA",1909.6225068297936,2277482,3.0520000000000000
2023,12,"Atlanta, GA",1909.6225068297936,2311639,3.0520000000000000
2023,12,"Baltimore, MD",1808.8287785316916,1117510,3.1530000000000000
2023,12,"Baltimore, MD",1808.8287785316916,1126216,3.1530000000000000
2023,12,"Boston, MA",3018.3815549697006,1920160,3.3390000000000000
2023,12,"Boston, MA",3018.3815549697006,1948354,3.3390000000000000
2023,12,"Chicago, IL",2023.773775051828,3670416,3.2780000000000000
2023,12,"Chicago, IL",2023.773775051828,3726266,3.2780000000000000
2023,12,"Dallas, TX",1806.4777350734817,2836892,2.6450000000000000
2023,12,"Dallas, TX",1806.4777350734817,2908436,2.6450000000000000
2023,12,"Denver, CO",2027.070876922688,1192117,2.6710000000000000
2023,12,"Denver, CO",2027.070876922688,1223825,2.6710000000000000
2023,12,"Detroit, MI",1430.1696628753923,1759573,3.0350000000000000
2023,12,"Detroit, MI",1430.1696628753923,1762104,3.0350000000000000
2023,12,"Houston, TX",1690.516710115557,2601401,2.6050000000000000
2023,12,"Houston, TX",1690.516710115557,2682645,2.6050000000000000
2023,12,"Los Angeles, CA",2903.9560112900845,4452780,4.7440000000000000
2023,12,"Los Angeles, CA",2903.9560112900845,4500951,4.7440000000000000
2023,12,"Miami, FL",2787.690996724987,2306639,3.1150000000000000
