census_geo_id,census_geo_name
310M300US12580,"Baltimore-Columbia-Towson, MD Metro Area"
310M300US12620,"Bangor, ME Metro Area"
310M300US12700,"Barnstable Town, MA Metro Area"
310M300US12940,"Baton Rouge, LA Metro Area"
310M300US12980,"Battle Creek, MI Metro Area"
310M300US13020,"Bay City, MI Metro Area"
310M300US13140,"Beaumont-Port Arthur, TX Metro Area"
310M300US13220,"Beckley, WV Metro Area"
310M300US13380,"Bellingham, WA Metro Area"
310M300US13460,"Bend-Redmond, OR Metro Area"
310M300US13740,"Billings, MT Metro Area"
310M300US13780,"Binghamton, NY Metro Area"
310M300US13820,"Birmingham-Hoover, AL Metro Area"
310M300US13900,"Bismarck, ND Metro Area"
310M300US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area"
310M300US14010,"Bloomington, IL Metro Area"
310M300US14020,"Bloomington, IN Metro Area"
310M300US14100,"Bloomsburg-Berwick, PA Metro Area"
310M300US14260,"Boise City, ID Metro Area"
310M300US14460,"Boston-Cambridge-Newton, MA-NH Metro Area"
310M300US14500,"Boulder, CO Metro Area"
310M300US14540,"Bowling Green, KY Metro Area"
310M300US14740,"Bremerton-Silverdale, WA Metro Area"
310M300US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area"
310M300US15180,"Brownsville-Harlingen, TX Metro Area"
310M300US15260,"Brunswick, GA Metro Area"
310M300US15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
310M300US15500,"Burlington, NC Metro Area"
310M300US15540,"Burlington-South Burlington, VT Metro Area"
310M300US15680,"California-Lexington Park, MD Metro Area"
310M300US15940,"Canton-Massillon, OH Metro Area"
310M300US15980,"Cape Coral-Fort Myers, FL Metro Area"
310M300US16020,"Cape Girardeau, MO-IL Metro Area"
310M300US16060,"Carbondale-Marion, IL Metro Area"
310M300US16180,"Carson City, NV Metro Area"
310M300US16220,"Casper, WY Metro Area"
310M300US16300,"Cedar Rapids, IA Metro Area"
310M300US16540,"Chambersburg-Waynesboro, PA Metro Area"
310M300US16580,"Champaign-Urbana, IL Metro Area"
310M300US16620,"Charleston, WV Metro Area"
310M300US16700,"Charleston-North Charleston, SC Metro Area"
310M300US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
310M300US16820,"Charlottesville, VA Metro Area"
310M300US16860,"Chattanooga, TN-GA Metro Area"
310M300US16940,"Cheyenne, WY Metro Area"
310M300US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
310M300US17020,"Chico, CA Metro Area"
310M300US17140,"Cincinnati, OH-KY-IN Metro Area"
310M300US17300,"Clarksville, TN-KY Metro Area"
310M300US17420,"Cleveland, TN Metro Area"
310M300US17460,"Cleveland-Elyria, OH Metro Area"
310M300US17660,"Coeur d'Alene, ID Metro Area"
310M300US17780,"College Station-Bryan, TX Metro Area"
310M300US17820,"Colorado Springs, CO Metro Area"
310M300US17860,"Columbia, MO Metro Area"
310M300US17900,"Columbia, SC Metro Area"
310M300US17980,"Columbus, GA-AL Metro Area"
310M300US18020,"Columbus, IN Metro Area"
310M300US18140,"Columbus, OH Metro Area"
310M300US18580,"Corpus Christi, TX Metro Area"
310M300US18700,"Corvallis, OR Metro Area"
310M300US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area"
310M300US19060,"Cumberland, MD-WV Metro Area"
310M300US19100,"Dallas-Fort Worth-Arlington, TX Metro Area"
310M300US19140,"Dalton, GA Metro Area"
310M300US19180,"Danville, IL Metro Area"
310M300US19300,"Daphne-Fairhope-Foley, AL Metro Area"
310M300US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area"
310M300US19380,"Dayton, OH Metro Area"
310M300US19460,"Decatur, AL Metro Area"
310M300US19500,"Decatur, IL Metro Area"
310M300US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
310M300US19740,"Denver-Aurora-Lakewood, CO Metro Area"
310M300US19780,"Des Moines-West Des Moines, IA Metro Area"
310M300US19820,"Detroit-Warren-Dearborn, MI Metro Area"
310M300US20020,"Dothan, AL Metro Area"
310M300US20100,"Dover, DE Metro Area"
310M300US20220,"Dubuque, IA Metro Area"
310M300US20260,"Duluth, MN-WI Metro Area"
310M300US20500,"Durham-Chapel Hill, NC Metro Area"
310M300US20700,"East Stroudsburg, PA Metro Area"
310M300US20740,"Eau Claire, WI Metro Area"
310M300US20940,"El Centro, CA Metro Area"
310M300US21060,"Elizabethtown-Fort Knox, KY Metro Area"
310M300US21140,"Elkhart-Goshen, IN Metro Area"
310M300US21300,"Elmira, NY Metro Area"
310M300US21340,"El Paso, TX Metro Area"
310M300US21420,"Enid, OK Metro Area"
310M300US21500,"Erie, PA Metro Area"
310M300US21660,"Eugene, OR Metro Area"
